Designator,Mid X,Mid Y,Rotation,Layer
J1,117.41,-98.99,0.0,top
J2,124.61,-100.26,0.0,top
R1,124.51,-94.71,180.0,top
U1,120.97,-99.18,90.0,top
U2,120.97,-102.57,270.0,top
U3,120.94,-95.83,90.0,top
