Designator,Mid X,Mid Y,Rotation,Layer
J1,134.65,-96.12,0.0,top
J2,146.415,-92.82,90.0,top
J3,146.58,-104.23,90.0,top
J4,163.725,-101.35,270.0,top
J5,175.46,-96.12,0.0,top
